,primary_isbn10,title,author,publisher,weeks_on_list
1938,None,FEAR OF FALLING,SL Jennings,S.L. Jennings,0
1939,,BAD MONKEY,Carl Hiaasen,Knopf,0
1940,None,ENTWINED WITH YOU,Sylvia Day,Berkley,0
1941,1939392748,FRIGID,J Lynn,Spencer Hill Contemporary,0
1942,1939962013,THE BILLIONAIRE'S OBSESSION,J S Scott,Golden Unicorn,0
1943,1451628706,DEADLY STAKES,J A Jance,Touchstone,0
1944,None,SURRENDER YOUR LOVE,JC Reed,J.C. Reed,0
1945,985547340,DAMAGED 2,H M Ward,Laree Bailey,0
1946,,THE BAT,Jo Nesbo,Vintage,0
1947,None,CONQUER YOUR LOVE,JC Reed,J.C. Reed,0
1948,316227188,BEAUTIFUL DAY,Elin Hilderbrand,"Reagan Arthur/Little, Brown",0
1949,None,GOTCHA!,Fern Michaels,Zebra,0
1950,None,THE TAMING OF RYDER CAVANAUGH,Stephanie Laurens,Avon,0
1951,759514712,THE LINCOLN LAWYER,Michael Connelly,"Little, Brown",0
1952,,THE SILVER STAR,Jeannette Walls,Scribner,0
1953,1439146950,REVENGE WEARS PRADA,Lauren Weisberger,Simon & Schuster,0
1954,1451635834,THE EYE OF MOLOCH,Glenn Beck,Threshold Editions,0
1955,1455517070,THE KILL ROOM,Jeffery Deaver,Grand Central,0
1956,,12TH OF NEVER,James Patterson and Maxine Paetro,"Little, Brown",0
1957,None,SILKEN PREY,John Sandford,Putnam,0
1958,778314464,SEA GLASS ISLAND,Sherryl Woods,Harlequin Mira,0
1959,None,ZERO HOUR,Clive Cussler and Graham Brown,Putnam,0
1960,None,PROS AND CONS,Janet Evanovich and Lee Goldberg,Bantam,0
1961,None,DEAD EVER AFTER,Charlaine Harris,Ace,0
1962,None,JUST ONE KISS,Susan Mallery,Harlequin HQN,0
1963,345507843,THE WEDNESDAY SISTERS,Meg Waite Clayton,Ballantine,0
1964,None,PIECES OF YOU,Cassia Leo,Cassia Leo,0
1965,None,STEALING HARPER,Molly McAdams,Morrow,0
1966,1455546313,FRENCH SILK,Sandra Brown,Grand Central,0
1967,None,UNTIL I BREAK,M Leighton,M. Leighton,0
1968,446574244,SAFE HAVEN,Nicholas Sparks,Grand Central,0
1969,None,REAL,Katy Evans,Katy Evans,0
1970,1451668961,DADDY'S GONE A HUNTING,Mary Higgins Clark,Simon & Schuster,0
1971,None,FLY AWAY,Kristin Hannah,St. Martin's,0
1972,None,BARE IT ALL,Lori Foster,HQN,0
1973,None,THE APPLE ORCHARD,Susan Wiggs,Harlequin Mira,0
1974,316097527,"ALEX CROSS, RUN",James Patterson,"Little, Brown",0
1975,316230804,LIFE AFTER LIFE,Kate Atkinson,"Little, Brown",0
1976,1439149704,THE STORYTELLER,Jodi Picoult,Emily Bestler/Atria,0
1977,812984617,THE BURGESS BOYS,Elizabeth Strout,Random House,0
1978,None,ALWAYS ON MY MIND,Bella Andre,Oak Press,0
1979,345532619,EDGE OF DAWN,Lara Adrian,Random House Publishing,0
1980,None,HEARTSONG,Debbie Macomber,Random House Publishing,0
1981,62235184,THE CIDER HOUSE RULES,John Irving,HarperCollins Publishers,0
1982,None,BEAUTIFUL BASTARD,Christina Lauren,Gallery Books,0
1983,,PRIVATE BERLIN,James Patterson and Mark Sullivan,"Little, Brown & Company",0
1984,None,THE DINNER,Herman Koch,Crown Publishing,0
1985,None,"TALL, DARK AND DEADLY",Lisa Renee Jones,Lisa Renee Jones,0
1986,None,SUSPECT,Robert Crais,Penguin Group,0
1987,307717119,THE INFORMATIONIST,Taylor Stevens,Crown Publishing,0
1988,812993802,TENTH OF DECEMBER,George Saunders,Random House Publishing,0
1989,1938404505,LOST TO YOU,A L Jackson,Sapphire Star Publishing,0
1990,None,COLLIDE,Gail McHugh,Gail McHugh,0
1991,1938127250,FOUR WEDDINGS AND A FIASCO BOXED SET,Lucy Kevin,Oak Press,0
1992,1439192332,WARM BODIES,Isaac Marion,Simon & Schuster,0
1993,1439165343,A DEEPER LOVE INSIDE,Sister Souljah,Simon & Schuster,0
1994,None,THE COINCIDENCE OF CALLIE AND KAYDEN,Jessica Sorensen,Jessica Sorensen,0
1995,1441238220,DYING TO READ,Lorena McCourtney,Revell,0
1996,None,REFLECTED IN YOU,Sylvia Day,Penguin Group,0
1997,1476717001,AGENDA 21,Glenn Beck with Harriet Parke,Simon & Schuster,0
1998,62235753,THE BLOOD GOSPEL,James Rollins and Rebecca Cantrell,HarperCollins Publishers,0
1999,1455515531,PRIVATE LONDON,James Patterson and Mark Pearson,Grand Central Publishing,0
2000,345527755,NOTORIOUS NINETEEN,Janet Evanovich,Random House Publishing,0
2001,,THREAT VECTOR,Tom Clancy with Mark Greaney,Penguin Group,0
2002,1439168032,"UNDER THE DOME, PART 1",Stephen King,Simon & Schuster,0
2003,1565125851,WATER FOR ELEPHANTS,Sara Gruen,Algonquin,0
2004,145551604X,CROSS ROADS,Wm Paul Young,FaithWords,0
2005,385350287,THE TWELVE TRIBES OF HATTIE,Ayana Mathis,Knopf Doubleday Publishing,0
2006,1401322786,THE TIME KEEPER,Mitch Albom,Hyperion Press,0
2007,62065246,THE ROUND HOUSE,Louise Erdrich,HarperCollins Publishers,0
2008,451464400,COLD DAYS,Jim Butcher,Penguin Group,0
2009,525952926,WINTER OF THE WORLD,Ken Follett,Penguin Group,0
2010,None,THE PERFECT HOPE,Nora Roberts,Penguin Group,0
2011,345535626,TRAPPED,Kevin Hearne,Random House Publishing,0
2012,None,NAKED,Raine Miller,Raine Miller Romance,0
2013,,POSEIDON'S ARROW,Clive Cussler and Dirk Cussler,Penguin Group,0
2014,1455518379,THE PANTHER,Nelson DeMille,Grand Central Publishing,0
2015,None,LEAVE ME BREATHLESS,Cherrie Lynn,Samhain Publishing,0
2016,None,THE SINS OF THE MOTHER,Danielle Steel,Random House Publishing,0
2017,375507256,CLOUD ATLAS,David Mitchell,Random House Publishing,0
2018,None,SHADOW,Laurann Dohner,Laurann Dohner,0
2019,None,LOSING IT,Cora Carmack,Cora Carmack,0
